cell_line,drug_group,0,0.26,0.5,0.85,1
A549-10uM-24h,azt,701,961,1648,3743,4786
A549-10uM-24h,los,434,527,1455,4512,4612
A549-10uM-24h,nib,2002,2200,2474,3516,3799
A549-10uM-24h,quine,174,382,934,3528,5587
A549-10uM-24h,vir,810,268,751,2449,3780
A549-10uM-6h,azt,378,558,859,2026,2465
A549-10uM-6h,los,1078,327,429,1422,3074
A549-10uM-6h,nib,490,876,1313,2110,3009
A549-10uM-6h,quine,997,1651,3134,4824,5090
A549-10uM-6h,vir,505,655,1170,3455,4864
HA1E-10uM-24h,azt,1054,1159,1468,1731,1890
HA1E-10uM-24h,los,314,600,1370,3713,4989
HA1E-10uM-24h,nib,662,953,1434,2804,3390
HA1E-10uM-24h,quine,539,1860,4299,5477,5749
HA1E-10uM-24h,vir,344,784,1724,3791,4078
HT29-10uM-24h,los,713,1945,4633,6124,6170
HT29-10uM-24h,nib,2107,1660,1442,1963,2267
HT29-10uM-24h,quine,539,1701,4286,5422,5557
HT29-10uM-24h,vir,817,1113,2619,4173,4449
MCF7-10uM-24h,nib,1890,2122,2119,3110,3420
MCF7-10uM-24h,quine,452,1030,2923,5674,5783
MCF7-10uM-24h,vir,378,729,1376,4493,5636
PC3-10uM-24h,azt,880,380,822,3590,4879
PC3-10uM-24h,nib,1743,1875,1966,3172,4234
PC3-10uM-24h,quine,551,2394,6470,6567,6050
PC3-10uM-24h,vir,1218,2114,3751,6381,6012
VCAP-10uM-24h,azt,1374,2314,3099,4148,4383
VCAP-10uM-24h,los,218,582,2073,5518,5532
VCAP-10uM-24h,nib,1630,1170,1865,3563,4568
VCAP-10uM-24h,quine,2009,1175,1739,4745,5077
VCAP-10uM-24h,vir,957,1742,3773,6912,6475
VCAP-10uM-6h,azt,1065,841,955,1044,1612
VCAP-10uM-6h,los,3508,1151,1151,2552,4509
VCAP-10uM-6h,nib,400,474,551,1562,2207
VCAP-10uM-6h,quine,2188,858,1210,4543,6498
VCAP-10uM-6h,vir,1200,2315,3905,4855,4879
